Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
EMA India,522027,,INE279D01016,Industrials,Industrial Manufacturing,Industrial Products
EMA Partners,,EMAPARTNER,INE0ZOL01023,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Emami,531162,EMAMILTD,INE548C01032,FMCG (Consumer Staples),Personal Products,Personal Care
Emami Paper,533208,EMAMIPAP,INE830C01026,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Emami Realty Ltd,533218,EMAMIREAL,INE778K01012,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Embassy Develop,532832,EMBDL,INE069I01010,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Embassy Off.REIT,542602,EMBASSY,INE041025011,Construction & Infrastructure,Realty,Real Estate Investment Trusts (REITs)
Emcure Pharma,544210,EMCURE,INE168P01015,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Emerald Finance,538882,,INE030Q01015,Financial Services,Finance,Non Banking Financial Company (NBFC)
Emerald Leisures,507265,,INE044N01021,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Emerald Tyre,,ETML,INE0RHD01013,Automobile,Auto Components,Tyres & Rubber Products
Emergent Indust.,506180,,INE668L01013,Metals & Mining,Metals & Minerals Trading,Trading - Metals
Emk.Global Fin.,532737,EMKAY,INE296H01011,Financial Services,Capital Markets,Stockbroking & Allied
Emkay Taps & Cut,,EMKAYTOOLS,INE332S01011,Industrials,Industrial Manufacturing,Industrial Products
Emkay Tools,,ETL,INE0PXC01024,Industrials,Industrial Manufacturing,Industrial Products
Emmbi Industries,533161,EMMBI,INE753K01015,Industrials,Industrial Products,Packaging
Emmessar Biotech,524768,,INE634B01016,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Emmforce Auto.,544166,,INE0SDC01012,Automobile,Auto Components,Auto Components & Equipments
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Industrials,Electrical Equipment,Other Electrical Equipment
Empire Inds.,509525,,INE515H01014,Miscellaneous,Diversified,Diversified
Empower India,504351,,INE507F01023,Information Technology,IT - Software,Computers - Software & Consulting
Emrock Corporation,531676,,INE554H01021,FMCG / Consumer Staples,Food Products,Packaged Foods
EMS,543983,EMSLIMITED,INE0OV601013,Power & Utilities,Other Utilities,Waste Management
eMudhra,543533,EMUDHRA,INE01QM01018,Information Technology,IT - Services,IT Enabled Services
Enbee Trade,512441,,INE993I01029,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Encode Packaging,530733,,INE900O01014,Media & Entertainment,Media,Print Media
Encompass Design,,ENCOMPAS,INE433T01015,Industrials,Commercial Services & Supplies,Trading & Distributors
Endurance Tech.,540153,ENDURANCE,INE913H01037,Automobile,Auto Components,Auto Components & Equipments
Energy Devl.Co.,532219,ENERGYDEV,INE306C01019,Power & Utilities,Power,Power Generation
Energy InfrTrust,542543,,INE05KD23015,Energy (Oil & Gas),Gas,Gas Transmission/Marketing
Energy-Mission,,EMMIL,INE0S1L01013,Industrials,Industrial Manufacturing,Industrial Products
Enfuse Solutions,,ENFUSE,INE0S3X01014,Information Technology,IT - Services,IT Enabled Services
Engineers India,532178,ENGINERSIN,INE510A01028,Construction & Infrastructure,Construction,Civil Construction
Enkei Wheels,533477,,INE130L01014,Automobile,Auto Components,Auto Components & Equipments
Enser,,ENSER,INE0R9I01021,Information Technology,IT - Services,IT Enabled Services
Ent.Network,532700,ENIL,INE265F01028,Media & Entertainment,Entertainment,Media & Entertainment
Entero Healthcar,544122,ENTERO,INE010601016,Consumer Durables & Retail,Retailing,Pharmacy Retail
Enterprise Intl.,526574,,INE439G01019,Industrials,Commercial Services & Supplies,Trading & Distributors
Envair Electrody,500246,,INE601C01013,Industrials,Industrial Manufacturing,Industrial Products
Enviro Infra,544290,EIEL,INE0LLY01014,Power & Utilities,Other Utilities,Water Supply & Management
Envirotech Sys.,,ENVIRO,INE0SUH01015,Industrials,Industrial Products,Other Industrial Products
EP Biocomposites,543595,,INE0D2I01014,Power & Utilities,Other Utilities,Waste Management
Epack Durable,544095,EPACK,INE0G5901015,Consumer Durables & Retail,Consumer Durables,Household Appliances
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrials,Industrial Manufacturing,Industrial Products
Epic Energy,530407,,INE932F01015,Financial Services,Finance,Non Banking Financial Company (NBFC)
Epigral,543332,EPIGRAL,INE071N01016,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
EPL Ltd,500135,EPL,INE255A01020,Industrials,Industrial Products,Packaging
Eppeltone Ene.,,EEPL,INE11HF01010,Industrials,Electrical Equipment,Other Electrical Equipment
Epsom Properties,531155,,INE601F01016,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Epuja Spiritech,532092,,INE807D01030,Financial Services,Finance,Non Banking Financial Company (NBFC)
EPW India,,EPWINDIA,INE1KEC01023,Information Technology,IT - Hardware,Computers Hardware & Equipments
Equilateral Ent.,531262,,INE060N01019,Industrials,Electrical Equipment,Other Electrical Equipment
Equippp Social,590057,EQUIPPP,INE217G01035,Information Technology,IT - Software,Computers - Software & Consulting
Equitas Sma. Fin,543243,EQUITASBNK,INE063P01018,Financial Services,Banks,Other Bank
Eraaya Lifespace,531035,,INE432F01032,Automobile,Automobiles,2/3 Wheelers
ERIS Lifescience,540596,ERIS,INE406M01024,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
ERP Soft Systems,530909,,INE308B01017,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Esaar (India),531502,,INE404L01039,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Esab India,500133,ESABINDIA,INE284A01012,Industrials,Industrial Products,Other Industrial Products
ESAF Small Fin,544020,ESAFSFB,INE818W01011,Financial Services,Banks,Other Bank
Esconet,,ESCONET,INE0RQZ01017,Information Technology,IT - Hardware,Computers Hardware & Equipments
Escorp Asset Mgt,540455,,INE953W01016,Financial Services,Finance,Other Financial Services
Escorts Kubota,500495,ESCORTS,INE042A01014,Automobile,"Agricultural, Commercial & Construction Vehicles",Tractors
Esha Media,531259,,INE328F01016,Media & Entertainment,Media,Advertising & Media Agencies
ESI,590022,EASTSILK,INE962C01035,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Espire Hospi,532016,,INE176O01011,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Esprit Stones,,ESPRIT,INE0SBP01018,Consumer Durables & Retail,Consumer Durables,Granites & Marbles
Essar Shipping,533704,ESSARSHPNG,INE122M01019,Industrials,Transport Services,Shipping
Essen Speciality,,ESFL,INE0ITO01014,Consumer Durables & Retail,Consumer Durables,Plastic Products - Consumer
Essex Marine,544475,,INE1IBY01019,FMCG / Consumer Staples,Food Products,Seafood
Ester Industries,500136,ESTER,INE778B01029,Industrials,Industrial Products,Packaging
Eternal,543320,ETERNAL,INE758T01015,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Ethos,543532,ETHOSLTD,INE04TZ01018,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Euphoria Infotec,544094,,INE0PYT01018,Information Technology,IT - Services,IT Enabled Services
Eureka Forbes,543482,EUREKAFORB,INE0KCE01017,Consumer Durables & Retail,Consumer Durables,Household Appliances
Eureka Industrie,521137,,INE958A01011,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Euro India Fresh,,EIFFL,INE546V01010,FMCG / Consumer Staples,Food Products,Packaged Foods
Euro Leder Fash,526468,,INE940E01011,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Euro Panel,544461,EUROBOND,INE505V01016,Industrials,Industrial Products,"Aluminium, Copper & Zinc Products"
Euro Pratik Sale,544519,EUROPRATIK,INE198501012,Consumer Durables & Retail,Consumer Durables,"Furniture, Home Furnishing"
Eurotex Industri,521014,EUROTEXIND,INE022C01012,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Evans Electric,542668,,INE06TD01010,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Eveready Inds.,531508,EVEREADY,INE128A01029,FMCG (Consumer Staples),Household Products,Household Products
Everest Inds.,508906,EVERESTIND,INE295A01018,Construction & Infrastructure,Other Construction Materials,Other Construction Materials
Everest Kanto,532684,EKC,INE184H01027,Industrials,Industrial Manufacturing,Industrial Products
Everest Organics,524790,,INE334C01029,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Everlon Fin.,514358,,INE339D01034,Financial Services,Finance,Non Banking Financial Company (NBFC)
Evexia Lifecare,524444,,INE313M01030,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
Evoq Remedies,543500,,INE0JVD01011,Industrials,Commercial Services & Supplies,Trading & Distributors
Exato Technologies,544626,,INE1E4401010,Information Technology,IT - Services,IT Enabled Services
Excel Industries,500650,EXCELINDUS,INE369A01029,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Excel Realty,533090,EXCEL,INE688J01023,Industrials,Commercial Services & Supplies,Trading & Distributors
Excellent Wires,,EXCELLENT,INE0Y4801011,Industrials,Industrial Products,Other Industrial Products
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019,Information Technology,IT - Services,IT Enabled Services
Exhicon Events,543895,,INE0O8901016,Consumer Durables & Retail,Other Consumer Services,Other Consumer Services
Exicom Tele-Sys.,544133,EXICOM,INE777F01014,Industrials,Electrical Equipment,Heavy Electrical Equipment
Exide Inds.,500086,EXIDEIND,INE302A01020,Automobile,Auto Components,Auto Components & Equipments
Exim Routes,,EXIMROUTES,INE19I001020,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,Information Technology,IT - Services,IT Enabled Services
Explicit Finance,530571,,INE335G01019,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Expo Engineering,526614,,INE561D01025,Industrials,Industrial Products,Other Industrial Products
Exxaro Tiles,543327,EXXARO,INE0GFE01026,Consumer Durables & Retail,Consumer Durables,Ceramics
Eyantra Ventures,512099,,INE750G01019,Industrials,Commercial Services & Supplies,Diversified Commercial Services
F A C T,590024,FACT,INE188A01015,Chemicals,Fertilizers & Agrochemicals,Fertilizers
F Mec Intl. Fin.,539552,,INE108T01013,Financial Services,Finance,Non Banking Financial Company (NBFC)
Faalcon Concepts,544164,FAALCON,INE0Q9W01015,Industrials,Industrial Manufacturing,Industrial Products
Fabino Enter,543444,,INE0DRT01018,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Fabtech Tech.,544558,FABTECH,INE0HF201011,Healthcare / Pharma,Healthcare Services,"Healthcare Research, Analytics & Technology"
Fabtech Techn.,544332,,INE0HSD01011,Industrials,Industrial Manufacturing,Industrial Products
Facor Alloys,532656,,INE828G01013,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
Fairchem Organic,543252,FAIRCHEMOR,INE0DNW01011,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Falcon,,FALCONTECH,INE0PQK01013,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Family Care,516110,,INE146N01016,Healthcare / Pharma,Healthcare Services,Healthcare Service Provider
Faze Three,530079,FAZE3Q,INE963C01033,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
FCS Software,532666,FCSSOFT,INE512B01022,Information Technology,IT - Services,IT Enabled Services
FDC,531599,FDC,INE258B01022,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Fedbank Financi.,544027,FEDFINA,INE007N01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Fedders Holding,511628,,INE417D01020,Financial Services,Finance,Non Banking Financial Company (NBFC)
Federal Bank,500469,FEDERALBNK,INE171A01029,Financial Services,Banks,Private Sector Bank
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Automobile,Auto Components,Auto Components & Equipments
Felix Industries,,FELIX,INE901X01013,Power & Utilities,Other Utilities,Water Supply & Management
Fermenta Biotec.,506414,,INE225B01021,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Fervent Synerg.,533896,,INE258M01011,Industrials,Commercial Services & Supplies,Trading & Distributors
FGP,500142,,INE512A01016,Financial Services,Finance,Non Banking Financial Company (NBFC)
Fiberweb (India),507910,FIBERWEB,INE296C01020,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Fidel Softech,,FIDEL,INE0LQQ01019,Information Technology,IT - Software,Computers - Software & Consulting
Fiem Industries,532768,FIEMIND,INE737H01014,Automobile,Auto Components,Auto Components & Equipments
Filatex Fash.,532022,FILATFASH,INE185E01021,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Filatex India,526227,FILATEX,INE816B01035,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Filmcity Media,531486,,INE600B01033,Media & Entertainment,Entertainment,"Film Production, Distribution & Exhibition"
Filtra Consult.,539098,,INE541R01019,Power & Utilities,Other Utilities,Other Utilities
Filtron Engineer,531191,,INE589N01017,Industrials,Commercial Services & Supplies,Trading & Distributors
Finbud Financial,,FINBUD,INE0EDU01014,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
Fine Line Cir.,517264,,INE087E01011,Information Technology,IT - Hardware,Computers Hardware & Equipments
Fine Organic,541557,FINEORG,INE686Y01026,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Finelistings Tec,544173,,INE0QOQ01013,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Fineotex Chem,533333,FCL,INE045J01034,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Finkurve Fin.,508954,FINKURVE,INE734I01027,Financial Services,Finance,Non Banking Financial Company (NBFC)
Fino Payments,543386,FINOPB,INE02NC01014,Financial Services,Banks,Other Bank
Finolex Cables,500144,FINCABLES,INE235A01022,Industrials,Industrial Products,Cables - Electricals
Finolex Inds.,500940,FINPIPE,INE183A01024,Industrials,Industrial Products,Plastic Products - Industrial
First Custodian,511122,,INE609B01018,Financial Services,Finance,Non Banking Financial Company (NBFC)
First Fintec,532379,,INE683B01047,Information Technology,IT - Software,Software Products
Firstsour.Solu.,532809,FSL,INE684F01012,Industrials,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Fischer Medical,524743,FISCHER,INE771F01041,Healthcare / Pharma,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Financial Services,Finance,Non Banking Financial Company (NBFC)
Flair Writing,544030,FLAIR,INE00Y201027,FMCG (Consumer Staples),Household Products,Stationary
Flex Foods,523672,,INE954B01018,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Flexituff Vent.,533638,FLEXITUFF,INE060J01017,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Flomic Global,504380,,INE952M01019,Industrials,Transport Services,Logistics Solution Provider
Flora Corporatio,540267,,INE318U01016,Industrials,Commercial Services & Supplies,Trading & Distributors
Fluidomat,522017,,INE459C01016,Industrials,Industrial Manufacturing,Industrial Products
FlySBS Aviation,,FLYSBS,INE0VCK01011,Industrials,Transport Services,Airline
Flywings Simula.,,FWSTC,INE0SQZ01015,Consumer Durables & Retail,Other Consumer Services,Education
Foce India,,FOCE,INE0I7D01019,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Focus Business,543312,,INE0DXR01010,Information Technology,IT - Software,Computers - Software & Consulting
Focus Lighting,,FOCUS,INE593W01028,Consumer Durables & Retail,Consumer Durables,Consumer Electronics
Fone4 Communica.,543521,,INE0L3H01014,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Fonebox Retail,,FONEBOX,INE0Q4701019,Consumer Durables & Retail,Retailing,Speciality Retail
Foods & Inns,507552,FOODSIN,INE976E01023,FMCG / Consumer Staples,Food Products,Packaged Foods
Forbes & Co,502865,,INE518A01013,Consumer Durables & Retail,Consumer Durables,Household Appliances
Forbes Precision,544186,,INE0TT901016,Industrials,Industrial Manufacturing,Industrial Products
Forcas Studio,,FORCAS,INE0U2501017,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Force Motors,500033,FORCEMOT,INE451A01017,Automobile,Automobiles,Passenger Cars & Utility Vehicles
Forge Auto,,FORGEAUTO,INE0YKW01013,Automobile,Auto Components,Auto Components & Equipments
Fortis Health.,532843,FORTIS,INE061F01013,Healthcare / Pharma,Healthcare Services,Hospital
Fortis Malar,523696,,INE842B01015,Healthcare / Pharma,Healthcare Services,Hospital
Fortune Interntl,530213,,INE501D01013,Industrials,Commercial Services & Supplies,Trading & Distributors
Foseco India,500150,FOSECOIND,INE519A01011,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Foundry Fuel,513579,,INE617C01027,Energy (Oil & Gas),Consumable Fuels,Coal
Fourth Gen.,532403,,INE739B01039,Information Technology,IT - Software,Software Products
Fractal Analyt.,544700,FRACTAL,INE212S01015,Information Technology,IT - Software,Computers - Software & Consulting
Fractal Industries,544707,,INE1W3Q01011,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Franklin Indust.,540190,,INE789R01022,Industrials,Commercial Services & Supplies,Trading & Distributors
Franklin Leasing,539839,,INE399S01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Fraser & Company,539032,,INE184Q01010,Industrials,Commercial Services & Supplies,Trading & Distributors
FratelliVineyard,541741,,INE401Z01019,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
Fredun Pharma,539730,,INE194R01017,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Freshara Agro,,FRESHARA,INE0SFW01015,FMCG / Consumer Staples,Food Products,Other Food Products
Frog Innovations,,FROG,INE385O01018,Telecom,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Frontier Capital,508980,,INE977E01013,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Frontier Springs,522195,,INE572D01014,Automobile,Auto Components,Auto Components & Equipments
Frontline Corp.,532042,,INE092D01013,Industrials,Transport Services,Road Transport
Fruition Venture,538568,,INE836C01015,Industrials,Commercial Services & Supplies,Trading & Distributors
FSN E-Commerce,543384,NYKAA,INE388Y01029,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Industrials,Electrical Equipment,Other Electrical Equipment
Fundviser Capit.,530197,,INE365H01014,Financial Services,Finance,Investment Company
Fusion Finance,543652,FUSION,INE139R01012,Financial Services,Finance,Microfinance Institutions
Future Consumer,533400,FCONSUMER,INE220J01025,Consumer Durables & Retail,Retailing,Diversified Retail
Future Ent. DVR,570002,FELDVR,IN9623B01058,Consumer Durables & Retail,Retailing,Diversified Retail
Future Enterp.,523574,FEL,INE623B01027,Consumer Durables & Retail,Retailing,Diversified Retail
Future Lifestyle,536507,FLFL,INE452O01016,Consumer Durables & Retail,Retailing,Diversified Retail
Future Market,533296,FMNL,INE360L01017,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Futuristic Sec.,523113,,INE425D01015,Financial Services,Finance,Non Banking Financial Company (NBFC)
Futuristic Solu,534063,,INE241F01011,Financial Services,Finance,Other Financial Services
Fynx Capital,507962,,INE455H01013,Financial Services,Finance,Non Banking Financial Company (NBFC)
G G Automotive,531399,,INE493B01017,Automobile,Auto Components,Auto Components & Equipments
G G Dandekar,505250,,INE631D01026,Industrials,Industrial Manufacturing,Industrial Products
G G Engineering,540614,,INE694X01030,Industrials,Electrical Equipment,Heavy Electrical Equipment
G K Consultants,531758,,INE131D01019,Financial Services,Finance,Non Banking Financial Company (NBFC)
G K P Printing,542666,,INE05QJ01015,Industrials,Industrial Products,Packaging
G M Breweries,507488,GMBREW,INE075D01018,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
G M D C,532181,GMDCLTD,INE131A01031,Metals & Mining,Minerals & Mining,Industrial Minerals
G M Polyplast,543239,,INE0E2801015,Industrials,Industrial Products,Plastic Products - Industrial
G N F C,500670,GNFC,INE113A01013,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
G R Infraproject,543317,GRINFRA,INE201P01022,Construction & Infrastructure,Construction,Civil Construction
G S Auto Intl.,513059,,INE736H01024,Automobile,Auto Components,Auto Components & Equipments
G S F C,500690,GSFC,INE026A01025,Chemicals,Fertilizers & Agrochemicals,Fertilizers
G V Films,523277,,INE395B01048,Media & Entertainment,Entertainment,"Film Production, Distribution & Exhibition"
G-Tec Janix,,GTECJAINX,INE586X01012,Consumer Durables & Retail,Other Consumer Services,E-Learning
G-Tech Info.,532139,,INE634D01038,Industrials,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Gabion Technol.,544675,,INE1H1501013,Industrials,Industrial Manufacturing,Industrial Products
Gabriel India,505714,GABRIEL,INE524A01029,Automobile,Auto Components,Auto Components & Equipments
Gabriel Pet,544108,,INE0QZF01012,Industrials,Industrial Products,Other Industrial Products
GACM Tech,531723,GATECH,INE224E01028,Financial Services,Finance,Other Financial Services
GACM Tech-DVR,570005,GATECHDVR,INE224E01036,Financial Services,Finance,Other Financial Services
Gagan Gases,524624,,INE076D01016,Chemicals,Chemicals & Petrochemicals,Industrial Gases
GAIL (India),532155,GAIL,INE129A01019,Energy (Oil & Gas),Gas,Gas Transmission/Marketing
Gajanan Sec.Serv,538609,,INE868G01019,Financial Services,Finance,Other Financial Services
Gajanand Inter.,,GAJANAND,INE0QTE01018,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Gala Global,539228,,INE480S01026,FMCG (Consumer Staples),Household Products,Stationary
Gala Precis. Eng,544244,GALAPREC,INE0RE001014,Industrials,Industrial Manufacturing,Industrial Products
Galactico Corpo.,542802,,INE906Y01028,Miscellaneous,Diversified,Diversified
Galada Finance,538881,,INE243E01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Galada Power,504697,,INE255C01018,Industrials,Electrical Equipment,Other Electrical Equipment
Galaxy Agrico,531911,,INE803L01016,Industrials,Industrial Manufacturing,Industrial Products
Galaxy Bearings,526073,,INE020S01012,Industrials,Industrial Products,Abrasives & Bearings
Galaxy Cloud,506186,,INE403B01016,FMCG / Consumer Staples,Food Products,Packaged Foods
Galaxy Medicare,,GML,INE09A801015,Healthcare / Pharma,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Galaxy Surfact.,540935,GALAXYSURF,INE600K01018,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrials,Industrial Products,Iron & Steel Products
Gallard Steel,544616,,INE0BUQ01012,Automobile,Auto Components,Auto Components & Equipments
Gallops Enterp.,531902,,INE755J01012,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Gamco Ltd,540097,,INE890S01026,Financial Services,Finance,Other Financial Services
Game Changers,544594,,INE1GUJ01014,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Gandhar Oil Ref.,544029,GANDHAR,INE717W01049,Energy (Oil & Gas),Petroleum Products,Lubricants
Gandhi Spl. Tube,513108,GANDHITUBE,INE524B01027,Industrials,Industrial Products,Iron & Steel Products
Ganesh Benzopl.,500153,GANESHBE,INE388A01029,Energy (Oil & Gas),Oil,Oil Storage & Transportation
Ganesh Consumer,544528,GANESHCP,INE652V01016,FMCG / Consumer Staples,Food Products,Packaged Foods
Ganesh Green,,GGBL,INE0R8C01018,Construction & Infrastructure,Construction,Civil Construction
Ganesh Holdings,504397,,INE932M01011,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Ganesh Housing,526367,GANESHHOU,INE460C01014,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction & Infrastructure,Construction,Civil Construction
Ganesha Ecosphe.,514167,GANECOS,INE845D01014,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Ganesha Ecoverse,539041,,INE369Q01017,Industrials,Commercial Services & Supplies,Trading & Distributors
Ganga Bath Fitt.,,GANGABATH,INE0ZI101018,Consumer Durables & Retail,Consumer Durables,Sanitary Ware
Ganga Forging,,GANGAFORGE,INE691Z01023,Industrials,Industrial Products,Castings & Forgings
Ganga Papers,531813,,INE278O01015,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Ganga Pharma.,539680,,INE615T01017,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Ganges Securitie,540647,GANGESSECU,INE335W01016,FMCG (Consumer Staples),Agricultural Food & other Products,Tea & Coffee
Ganon Products,512443,,INE162L01017,Industrials,Commercial Services & Supplies,Trading & Distributors
Garbi Finvest,539492,,INE721C01019,Financial Services,Finance,Non Banking Financial Company (NBFC)
Garden Reach Sh.,542011,GRSE,INE382Z01011,Industrials,Aerospace & Defense,Aerospace & Defense
Garg Furnace,530615,,INE194E01015,Industrials,Industrial Products,Iron & Steel Products
Garment Mantra,539216,,INE653S01028,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Garnet Construct,526727,,INE797D01017,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Garnet Intl.,512493,,INE590B01010,Financial Services,Finance,Investment Company
Garuda Cons,544271,GARUDA,INE0JVO01026,Construction & Infrastructure,Construction,Civil Construction
Garware Hi Tech,500655,GRWRHITECH,INE291A01017,Industrials,Industrial Products,Plastic Products - Industrial
Garware Marine,509563,,INE925D01014,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Garware Synth,514400,,INE340D01016,Industrials,Commercial Services & Supplies,Trading & Distributors
Garware Tech.,509557,GARFIBRES,INE276A01018,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Gateway Distri,543489,GATEWAY,INE079J01017,Industrials,Transport Services,Logistics Solution Provider
Gaudium IVF,,,INE0P8B01020,,,
Gautam Exim,540613,,INE721X01015,Industrials,Commercial Services & Supplies,Trading & Distributors
Gautam Gems,540936,,INE063Z01017,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Gayatri BioOrga.,524564,,INE052E01015,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Gayatri Highways,541546,GAYAHWS,INE287Z01012,Construction & Infrastructure,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Gayatri Projects,532767,GAYAPROJ,INE336H01023,Construction & Infrastructure,Construction,Civil Construction
Gayatri Rubbers,,GRCL,INE0LVM01018,Industrials,Industrial Products,Rubber
Gayatri Sugars,532183,,INE622E01023,FMCG (Consumer Staples),Agricultural Food & other Products,Sugar
GB Logistics,544348,,INE0RWU01016,Industrials,Transport Services,Logistics Solution Provider
GCM Capital,538319,,INE191P01017,Financial Services,Finance,Other Financial Services
GCM Commodity,535917,,INE200P01016,Financial Services,Finance,Other Financial Services
GCM Securit.,535431,,INE168O01026,Financial Services,Capital Markets,Stockbroking & Allied
Gconnect Logitec,544156,,INE0QHY01011,Industrials,Transport Services,Logistics Solution Provider
GDL Leasing,530855,,INE545E01018,Financial Services,Finance,Non Banking Financial Company (NBFC)
GE Power,532309,GVPIL,INE878A01011,Industrials,Electrical Equipment,Heavy Electrical Equipment
GE Shipping Co,500620,GESHIP,INE017A01032,Industrials,Transport Services,Shipping
GE Vernova T&D,522275,GVT&D,INE200A01026,Industrials,Electrical Equipment,Heavy Electrical Equipment
GEE,504028,,INE064H01021,Industrials,Electrical Equipment,Other Electrical Equipment
GeeCee Vent.,532764,GEECEE,INE916G01016,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Geekay Wires,,GEEKAYWIRE,INE669X01032,Industrials,Industrial Products,Iron & Steel Products
Geetanjali Cred.,539486,,INE263R01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Gem Aromatics,544491,GEMAROMA,INE06XZ01023,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
