Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
ABM Knowledge,531161,,INE850B01026,Information Technology,IT - Software,Software Products
Abram Food,544422,,INE0ZDY01011,FMCG / Consumer Staples,Food Products,Other Food Products
Abril Paper,544500,,INE15MX01014,Industrials,Industrial Products,Other Industrial Products
ABS Marine,,ABSMARINE,INE0QRV01016,Industrials,Transport Services,Shipping
ACC,500410,ACC,INE012A01025,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
Accedere,531533,,INE578B01015,Information Technology,IT - Software,Computers - Software & Consulting
Accel,517494,,INE258C01038,Information Technology,IT - Software,Computers - Software & Consulting
AccelerateBS Ind,543938,,INE0POP01017,Information Technology,IT - Software,Computers - Software & Consulting
Accelya Solution,532268,ACCELYA,INE793A01012,Information Technology,IT - Software,Computers - Software & Consulting
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accord Synergy,,ACCORD,INE113X01015,Telecom,Telecom - Services,Other Telecom Services
Accord Transformer,,,INE132201018,,,
Accretion Nutraveda,544694,,INE1KVQ01019,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accretion Pha.,,ACCPL,INE0T8T01010,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Industrials,Transport Services,Logistics Solution Provider
ACE Alpha Tech,544431,,INE0S9X01011,Information Technology,IT - Software,Computers - Software & Consulting
ACE EduTremd Ltd,530093,,INE715F01014,Consumer Durables & Retail,Other Consumer Services,Education
Ace Engitech,530669,,INE035401020,Information Technology,IT - Services,IT Enabled Services
Ace Integrated,,ACEINTEG,INE543V01017,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Ace Men,539661,,INE023R01018,Consumer Durables & Retail,Retailing,Distributors
Ace Soft. Exp.,531525,,INE849B01010,Information Technology,IT - Software,Software Products
Achyut Healthcar,543499,,INE0K1401020,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
ACI Infocom,517356,,INE167B01025,Information Technology,IT - Hardware,Computers Hardware & Equipments
Acknit Indus.,530043,,INE326C01017,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Acme Resources,539391,,INE636B01011,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power & Utilities,Power,Power Generation
Acrow India,513149,,INE950D01012,Industrials,Industrial Products,Iron & Steel Products
ACS Tech,530745,,INE366C01021,Information Technology,IT - Services,IT Enabled Services
Action Const.Eq.,532762,ACE,INE731H01025,Automobile,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
Active Clothing,541144,,INE380Z01015,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Active Infra.,,ACTIVEINFR,INE0KLO01025,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
AD Manum Finance,511359,,INE556D01017,Financial Services,Finance,Non Banking Financial Company (NBFC)
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power & Utilities,Power,Power Distribution
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
Adani Green,541450,ADANIGREEN,INE364U01010,Power & Utilities,Power,Power Generation
Adani Ports,532921,ADANIPORTS,INE742F01042,Construction & Infrastructure,Transport Infrastructure,Port & Port services
Adani Power,533096,ADANIPOWER,INE814H01029,Power & Utilities,Power,Integrated Power Utilities
Adani Total Gas,542066,ATGL,INE399L01023,Energy (Oil & Gas),Gas,LPG/CNG/PNG/LNG Supplier
Adarsh Plant,526711,,INE627D01016,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADC India,523411,,INE833A01016,Telecom,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Adcon Capital,539506,,INE805Q01028,Financial Services,Finance,Non Banking Financial Company (NBFC)
